Barcode,ISBN,Resource Type,Section,Title,Author,Status,# times Checked Out,Accession Date
21607,9781401301910,Books,Non-fiction,1453,"Crowley, Roger , 1951-",,0,11/16/2018
15,9780671644994,Books,Hardcover fict,1492,"Aridjis, Homero.",,2,8/20/2015
21522,,DVDs,DVD,1492: Conquest of Paradise,,,2,11/9/2018
21727,9780307265722,Books,Non-fiction,1493,"Mann, Charles C.",,2,12/11/2018
11105,9780061655975,Books,Fiction,15 Seconds,"Gross, Andrew",,5,12/22/2015
6725,0690008465,Books,Non-fiction,17 plays,"Dukore, Bernard Frank , 1931-",,0,11/5/2015
17235,9780679803904,Books,child 500,175 more science experiments to amuse and amaze your friends,"Cash, Terry.",,2,3/31/2017
8545,9780670025121,Books,Non-fiction,1775,"Phillips, Kevin , 1940-",,1,11/13/2015
20559,9780743226721,Books,Non-fiction,1776,"McCullough, David G.",,2,11/13/2015
235920,9781728307558,Books,Fiction,180 Days To November,"Wyn, Chase",,1,2/19/2020
20357,9780349118642,Books,Non-fiction,1848,"Rapport, Mike",,0,4/21/2018
21943,9781846689611,Books,Non-fiction,1913,"Illies, Shaun Whiteside, Jamie Searle Florian",,1,12/16/2018
14012,9780805070576,Books,Non-fiction,1967,"Segev, Tom , 1945-",,2,2/17/2016
3061,,DVDs,DVD,1981,,,4,12/14/2015
234708,9780316420273,Books,Fiction,"19Th Christmas ), The","Patterson, James",,1,2/28/2020
9404,9780812974157,Books,Fiction,"19th wife, The","Ebershoff, David.",,4,11/23/2015
14965,,Books,Judd Dolle Span,20 Poemas de Amor y una cancion deseperada,"Neruda, Pablo",,1,6/8/2016
3400,9781577314769,Books,Non-fiction,"20 something, 20 everything","Hassler, Christine , 1976-",,0,3/8/2016
7927,9780740312601,Books,Fiction,"20,000 Leagues Under the Sea","Verne, Jules",,2,12/12/2015
4657,157765806X,Books,Young Adult,"20,000 Leagues Under The Sea","Verne, Jules , 1828-1905.",,3,9/29/2015
7839,0883656655,Books,Short Stories,200 Years of Great American Short Stories,"Foley, Martha",,0,11/14/2015
8075,090571282x,Books,Science Fiction,"2001/A Space Odyssey, the City and the Stars, the Deep Range, a Fall of Moondust, Rendevous With Rama","Clarke, Arthur C.",,2,12/12/2015
8066,0345303059,Books,Science Fiction,2010,"Clarke, Arthur C.",,0,12/12/2015
234280,0345303067,Books,Fiction,2010,"Clarke, Arthur C.  (Arthur Charles) , 1917-2008",,0,12/23/2019
10389,9780778302926,Books,Fiction,204 Rosewood Lane,"Macomber, Debbie",,4,12/2/2015
13921,9780140182279,Books,Fiction,20th Century Burmese Days,"Orwell, George",,0,1/5/2016
1201,,Books,Judd Dolle,20th Century Sculpture,"Acquavella, William R.",,0,9/17/2015
21471,9780451203595,Books,Fiction,24 Hours,"Iles, Greg",,3,10/29/2018
300491,9780374100148,Books,Judd Dolle,2666,"Bolano, Roberto",,1,9/18/2015
1480,9780060820916,Books,Hardcover fict,26A,"Evans, Diana",,0,9/21/2015
11889,0385302274,Books,Fiction,"27 ingredient chili con carne murders, The","Pickard, Nancy.",,1,12/8/2015
300061,9780316420044,Books,Hardcover fict,28 Summers,"Hilderbrand, Elin , author.",,0,1/23/2021
7769,9780991144402,Books,Short Stories,29,"Library, Merida English",,1,11/14/2015
8845,9780446612791,Books,Fiction,2nd Chance,"Patterson, Andrew Gross,Andrew (CON) Gross James",,2,12/21/2015
13017,,DVDs,DVD,3:10 to Yuma,,,3,12/15/2015
5969,9781930485044,Books,Non-fiction,30 Essential Yoga Poses,"Lasater, Judith",,6,10/27/2015
11990,9780345423498,Books,Science Fiction,3001,"Clarke, Arthur C.",,1,12/12/2015
15332,9781891105036,Books,Non-fiction,30-minute meals,"Ray, Rachael.",,3,10/19/2016
3369,9780312332037,Books,Fiction,36 Yalta Boulevard,"Steinhauer, Olen",,4,3/2/2016
20612,9781578660117,Books,Non-fiction,365 Ways To Love Your Child,"Krueger, Caryl Waller",,1,6/11/2018
19473,,DVDs,DVD,"39 Steps, The",,,1,12/30/2017
3573,0816741425,Books,child 500,3-D Outrageous Reptiles,"Boyd, Ian",,0,10/1/2015
17432,9781606710869,Books,Non-fiction,"4,000 Years of Uppity Women","LeÛn, Vicki",,0,3/25/2017
14537,9780143176015,Books,Fiction,419,"Ferguson, Will",,1,4/13/2016
11130,9780440245179,Books,Fiction,44 Charles Street,"Steel, Danielle",,3,12/21/2015
300349,9781457522185,Books,Fiction,47 Houses - On the Long Journey Home,"Pree, Lenore De",,0,4/16/2016
1412,9780743458009,Books,Fiction,"47th samurai, The","Hunter, Stephen , 1946-",,0,11/28/2015
12631,0316710601,Books,Hardcover fict,4th of July,"Patterson, James , 1947-",,6,2/20/2016
1968,9781416577577,Books,Hardcover fict,"5 Greatest Warriors, The","Reilly, Matthew.",,0,9/29/2015
235889,9781403794956,Books,child 900,50 Great States Fast-Fact Book,n/a,,0,2/19/2020
15977,,DVDs,DVD,50 Horror Classics,,,1,11/18/2016
4715,0929923936,Books,child 700,50 Nifty Magic Tricks,"Wood, Elizabeth",,1,10/5/2015
16491,,DVDs,DVD,500 Days of Summer,,,1,12/14/2015
2714,039482668x,Books,child 400,500 Words To Grow On.,"McNaught, Harry.",,0,3/25/2021
235322,9780764179846,Books,2nd language re,501 Spanish verbs,"Kendris, Christopher.",,4,12/30/2016
22400,9780812092820,Books,2nd language re,"501 Spanish Verbs Fully Conjugated In All The Tenses In A New Easy-To-Learn Format, Alphabetically Arranged","Kendris, Christopher.",,3,1/20/2019
234576,9781471177552,Books,Fiction,55,"Delargy, Mr. James",,1,1/25/2020
235763,9781423146575,Books,child anth.,**5-Minute Princess Stories,,,2,2/3/2020
22722,9780316159777,Books,Fiction,"5Th Horseman, The","Patterson, James , 1947-",,2,2/12/2019
6396,0743270541,Books,Fiction,6 Sacred Stones,"Reilly, Matthew",,3,1/8/2016
234301,9780062666468,Books,Fiction,"6Th Extinction, The","Rollins, James",,1,12/27/2019
6077,0307440087,Books,Non-fiction,"7 habits of highly effective families, The","Covey, Stephen R.",,4,11/2/2015
12009,9780446199254,Books,Fiction,7th Heaven,"Patterson, James",,2,12/7/2015
8843,9780804116992,Books,Fiction,82 Desire,"Smith, Julie",,0,12/21/2015
117,9780099514589,Books,Fiction,8Th Confession,"Patterson, James",,5,9/12/2015
22822,9780393326710,Books,Non-fiction,"9/11 Commission Report, The",National Commission on Terrorist Attacks upon the United States.,,0,3/4/2019
8663,9781566565844,Books,Non-fiction,"9/11 Commission Report, The","Griffin, David Ray , 1939-",,0,3/25/2021
21950,9780800759490,Books,Non-fiction,90 Minutes In Heaven,"Piper, Don , 1950-",,1,12/16/2018
12788,9780778326694,Books,Fiction,92 Pacific Boulevard,"Macomber, Debbie",,1,12/11/2015
3988,0448431777,Books,child adv. read,97 Ways To Train A Dragon,"McMullan, Kate.",,2,9/28/2015
2965,9780974908038,Books,Judd Dolle - Re,99 Days To Panama,"Halkyard, John",,1,9/22/2015
18998,9780380977406,Books,,999,"Sarrantonio, Al",,0,11/3/2017
300559,9780451240569,Books,Fiction,"9Th Girl, The","Hoag, Tami.",,0,4/2/2021
21065,9682803063,Books,Board Books,A,"Hood, Susan",,1,8/1/2018
13328,9780448447209,Books,child 500,A Baby Panda Is Born,"Ostby, Kristin",,7,2/5/2016
19958,9780143126430,Books,Fiction,A Beam Of Light,"Camilleri, Andrea",,9,2/1/2018
5943,9780743224574,Books,Non-fiction,A BEAUTIFUL MIND.,"Nasar, Sylvia",,1,10/28/2015
7374,9780679312710,Books,,A Bed of Red Flowers,"Pazira, Nelofer",,1,5/10/2016
11551,9780679722021,Books,Fiction,A Bend in the River,"Naipaul, V.S.",,3,12/4/2015
9591,9789812618955,Books,Fiction,A Bit of Earth,"Suchen, Christine Lim",,2,11/18/2015
10792,9780006392804,Books,Fiction,A Blade of Grass,"DeSoto, Lewis",,1,11/23/2015
12560,9780345527363,Books,Fiction,A Blaze of Glory,"Shaara, Jeff",,1,12/10/2015
3797,0590461427,Books,pic. books pape,A Boy Wants A Dinosaur,"Oram, Hiawyn and Kitamura, Satoshi",,2,10/1/2015
234,0525241280,Books,Hardcover fict,A Boy's Own Story,"White, Edmund",,0,11/23/2015
6280,9780440225805,Books,Fiction,A Breath Of Snow And Ashes,"Gabaldon, Diana",,3,10/21/2015
14990,9780764200724,Books,Fiction,A Bride Most Begrudging,"Gist, Deeanne",,2,6/15/2016
306,0816031657,Books,Judd Dolle,A Brief History Of Mexico,"Foster, Lynn V.",,1,9/16/2015
15621,9781845296841,Books,Non-fiction,A Brief History of the Universe,"McEvoy, J. P.",,2,8/18/2016
14412,9780345548900,Books,Non-fiction,A Brief History of Time/The Universe in a Nutshell,"Hawking, Stephen , 1942-",,6,4/20/2016
14702,,DVDs,DVD,A Brilliant Mind,,,3,5/20/2016
4200,9781593697549,Books,Young Adult,A Bundle Of Trouble,"Reiss, Kathryn",,3,9/28/2015
300357,9780312625085,Books,Fiction,A Burial at Sea,"Finch, Charles",,0,3/18/2016
300516,9780099516743,Books,Fiction,A Case Of Exploding Mangoes,"Hanif, Mohammed",,2,11/28/2015
11260,9780451210630,Books,Fiction,**A Case of Need,"Crichton, Michael",,4,11/21/2015
21586,0345425642,Books,Fiction,A Certain Justice,"James, P. D.",,0,11/26/2018
2886,0688040748,Books,Children,A Chair For My Mother 25Th Anniversary Edition,"Williams, Vera B.",,2,10/1/2015
3787,9780688040741,Books,Children,A Chair For My Mother 25Th Anniversary Edition,"Williams, Vera B.",,1,10/1/2015
12559,9780316020718,Books,Fiction,A Change in Altitude,"Shreve, Anita",,1,12/17/2015
10353,9780805052053,Books,Fiction,A Change of Climate,"Mantel, Hilary",,2,12/7/2015
5870,9780385337557,Books,Non-fiction,A Child Is Born,"Nilsson, Lennart",,0,10/27/2015
11232,9780743225137,Books,Fiction,A Child's Book of True Crime,"Hooper, Chloe",,2,11/28/2015
17271,9781853261411,Books,child 800,A Child's Garden of Verses  (Wordsworth Classics),"Stevenson, Robert Louis",,1,3/31/2017
2801,9780671667412,Books,pic. books pape,A Chocolate Moose For Dinner,"Gwynne, Fred",,2,10/1/2015
5332,,Books,Holidays,A Christmas Carol,"Connelly, Neil O. Jr.",,2,10/22/2015
9748,,Books,Fiction,A Christmas Carol,"Dickens, Charles",,1,11/23/2015
5243,0060211911,Books,Holidays,A Christmas Story,"Chalmers, Mary",,4,10/15/2015
7621,9780062545039,Books,Non-fiction,A Circle Of Quiet - The Crosswicks Journal - Book 1,"L'engle, Madeleine",,2,11/7/2015
13925,9780802122926,Books,Fiction,A Circle of Wives,"LaPlante, Alice",,3,1/8/2016
23332,0345433041,Books,Fiction,A citizen of the country,"Smith, Sarah",,0,4/10/2019
20646,9780345535429,Books,Fiction,A Clash of Kings,"Martin, George R. R.",,3,10/29/2015
15277,9780393312836,Books,Fiction,A Clockwork Orange,"Burgess, Anthony",,1,8/20/2016
2157,9684173229,Books,2nd language re,A Close Up of  English 3,"Ramos, Frederico",,0,12/12/2015
8745,9780679743408,Books,Fiction,A Closed Eye,"Brookner, Anita",,1,11/16/2015
10151,0373262000,Books,Fiction,A Coffin For Charley,"Butler, Gwendoline",,1,11/18/2015
22054,9780345452566,Books,Fiction,A Cold Heart,"Kellerman, Jonathan",,4,12/2/2015
10818,9780749302443,Books,Fiction,A Cold Red Sunrise,"Kaminsky, Stuart M.",,2,12/1/2015
13729,0425158497,Books,Fiction,A Cold-Blooded Business,"Stabenow, Dana",,0,12/8/2015
3548,9780007467501,Books,Fiction,A Colder War,"Cumming, Charles",,1,3/18/2016
23115,9681202481,Books,Judd Dolle,A Compact History Of Mexico,"Mexico, Colegio de",,2,9/8/2015
19731,0676976123,Books,Fiction,A Complicated Kindness,"TOEWS, Miriam",,3,3/21/2018
234736,,Books,Non-fiction,A Coney Island State of Mind,"Schilke, Gaia",,0,2/29/2020
16693,9780802130204,Books,Fiction,A Confederacy of Dunces,"Toole, John Kennedy",,2,12/11/2015
4624,9788420512853,Books,Young Adult,A Connecticut Yankee In King Arthur's - Grade,"Twain, Mark",,0,9/29/2015
21000,9780142180815,Books,Fiction,A Conspiracy Of Faith,"Adler-Olsen, Jussi",,10,7/9/2018
10414,9780804119122,Books,Fiction,A Conspiracy of Paper,"Liss, David",,3,12/2/2015
18936,9780872866225,Books,Fiction,A Corner Of The World,"Fernandez Pintado, Mylene",,2,11/3/2017
17223,0590098993,Books,child 390,A Crocodile's Tale: A Philippine Folk Story,"Aruego, Jose",,3,4/12/2017
20719,1579730205,Books,pic. books hard,A Crown For Atta,"Staff, Disney Staff; Pixar Animation Studios",,0,6/25/2018
20648,9780553582017,Books,Fiction,A Dance With Dragons,"Martin, George R. R.",,3,9/1/2017
13027,9781107694057,Books,2nd language re,A Dangerous Sky Level 6 Advanced,"Austen, Michael",,3,1/12/2016
22152,9780007315482,Books,Fiction,A Darker Domain,"McDermid, Val",,5,12/28/2018
1896,9780399155505,Books,Hardcover fict,A Darker Place,"Higgins, Jack",,2,9/24/2015
16943,9780373877928,Books,Fiction,A Daughter's Redemption,"Daniels, Georgiana",,0,1/28/2017
6319,9780373281626,Books,Fiction,A Day Away,"Roberts, Nora",,4,1/5/2016
911,,Books,Judd Dolle,A Day in the Life,,,0,3/11/2021
4208,0440920833,Books,Young Adult,A Day No Pigs Would Die,"Peck, Robert Newton",,0,9/28/2015
22061,9780330350716,Books,Fiction,A Death Divided,"Francis, Clare",,1,12/21/2018
5513,9780060742690,Books,Non-fiction,A Death In Belmont,"Junger, Sebastian",,2,10/27/2015
12197,9780451213181,Books,Fiction,A Death in Vienna,"Silva, Daniel",,5,12/10/2015
7388,,Books,Fiction,A Diary from Dixie,"Chesnut, Mary Boykin",,0,8/11/2017
6816,9780198608851,Books,Non-fiction,A Dictionary of British History,"Cannon, John",,0,11/11/2015
14832,0385413904,Books,Fiction,A Different Drummer,"Kelley, William M.",,0,5/14/2016
492,,Books,Judd Dolle,A Diplomat's Wife in Mexico,"O'Shaughnessy, Edith",,1,9/22/2015
12656,9780060590284,Books,Fiction,A Dirty Job,"Moore, Christopher",,1,12/4/2015
17160,,DVDs,DVD,a dirty shame,,,1,4/19/2017
17832,9781439101964,Books,Fiction,A Disobedient Girl,"Freeman, Ru",,0,5/30/2017
18838,9780060501419,Books,Fiction,A Disorder Peculiar To The Country,"Kalfus, Ken",,1,10/11/2017
21483,,Books,Non-fiction,A Distant Mirror,"Tuchman, Barbara W",,0,11/3/2018
300384,9781400034505,Books,Fiction,A Distant Shore,"Phillips, Caryl",,2,12/7/2015
19549,9780765388117,Books,Fiction,A Dog's Purpose,"Cameron, W. Bruce",,2,1/25/2018
5003,089565671x,Books,child early rea,A Dragon In A Wagon,"Moncure, Jane Belk",,3,10/22/2015
14454,9780061998843,Books,Fiction,A Drink Before the War,"Lehane, Dennis",,6,4/6/2016
17308,9780316341028,Books,Non-fiction,A Drinking Life,"Hamill, Pete",,1,3/15/2017
3131,,Books,child 600,A Drop of Blood,"Showers, Paul",,2,10/1/2015
4086,0525445560,Books,child 390,A Fairy Went A-Marketing,"Fyleman, Rose",,1,10/3/2015
8775,9780345443120,Books,Fiction,A False Sense of Well Being,"Braselton, Jeanne",,1,11/16/2015
2024,9780375414664,Books,Hardcover fict,A Far Country,"Mason, Daniel",,3,9/28/2015
11400,,Books,Fiction,A Farewell to Arms,"Hemingway, Ernest",,4,11/21/2015
16113,9780553583175,Books,Fiction,A Fearsome Doubt,"Todd, Charles",,8,10/22/2016
7816,9780553582024,Books,Fiction,A Feast for Crows,"Martin, George R. R.",,2,8/9/2017
20649,0-00-224743-7,Books,Fiction,A Feast For Crows,"Martin, George R. R.",,0,10/10/2018
22649,,DVDs,DVD,A Few Good Men,,,0,2/7/2019
5898,9780395975145,Books,Judd Dolle,A Field Guide to Mexican Birds,"Peterson, Roger Tory",,11,10/28/2015
21373,9781250062253,Books,Non-fiction,A Fighting Chance,"Warren, Elizabeth",,4,10/15/2018
20939,044818916x,Books,Young Adult,A Figure In Hiding,"Dixon, Franklin W.",,3,7/7/2018
16122,9780312989477,Books,Fiction,A Fine and Bitter Snow,"Stabenow, Dana",,2,10/22/2016
1945,,Books,Hardcover fict,A Fine and Quiet Place,"Queen, Ellery",,1,9/29/2015
18099,9781400030651,Books,Fiction,A Fine Balance,"Mistry, Rohinton",,2,6/28/2017
235460,9780425214770,Books,Fiction,A Fine Night for Dying,"Higgins, Jack",,0,12/11/2020
12779,9780060593315,Books,Fiction,A Fine Passion,"Laurens, Stephanie",,1,12/11/2015
22058,9780553579277,Books,Fiction,A Finer End,"Crombie, Deborah",,2,11/21/2015
19289,9780307158352,Books,child 300,A First Thesaurus,"Wittels, Harriet",,0,12/5/2017
22726,9780553384444,Books,Fiction,A Flaw In The Blood,"Barron, Stephanie",,1,2/12/2019
15110,9781578569809,Books,Fiction,A Flickering Light,"Kirkpatrick, Jane",,2,7/9/2016
1505,0312304102,Books,Hardcover fict,A Fountain Filled With Blood,"Spencer-Fleming, Julia",,1,9/21/2015
13876,9781553373759,Books,child early rea,A Friend for Sam,"Labatt, Mary",,3,2/3/2016
19112,9780394563879,Books,Fiction,A Friend From England,"Brookner, Anita",,0,12/1/2017
8777,9780965008518,Books,Fiction,A Friend of the Earth,"Martinez, Javier",,0,11/16/2015
8478,9780684800523,Books,Fiction,A Frolic of His Own,"Gaddis, William",,1,11/25/2015
11333,9780140101188,Books,Fiction,A Game for the Living,"Highsmith, Patricia",,4,11/28/2015
20092,9780751507645,Books,Non-fiction,A Game Of Moles,"Bristow, Desmond",,0,2/3/2018
19314,9780553593716,Books,Fiction,A Game Of Thrones,"Martin, George R. R.",,3,12/6/2017
11080,9780375708466,Books,Fiction,A Gate at the Stairs,"Moore, Lorrie",,3,12/4/2015
12246,9780312357443,Books,Fiction,A Gladiator Dies Only Once,"Saylor, Steven",,1,12/9/2015
9495,9780061097935,Books,Fiction,A God in Ruins,"Uris, Leon",,2,12/11/2015
10730,9780786028108,Books,Fiction,A Good Day to Die,"Johnstone, William W.",,1,12/1/2015
21932,9780553573992,Books,Fiction,A Grave Talent,"King, Laurie R.",,1,12/16/2018
8783,9780385732314,Books,Fiction,A Great and Terrible Beauty,"Bray, Libba",,0,11/16/2015
2256,9781885173935,Books,Hardcover fict,A Great Day For Dying,"Harrington, Jonathan",,2,9/24/2015
14003,9780393348880,Books,Fiction,A Guide for the Perplexed,"Horn, Dara",,6,2/17/2016
18245,9780806119922,Books,Judd Dolle,A guide to ancient Maya ruins,"Hunter, Bruce",,3,7/29/2017
3232,0140018964,Books,Fiction,A Gun for Sale,"Greene, Graham",,4,2/27/2016
9370,9780307276803,Books,Fiction,A Handbook to Luck,"GarcÌa, Cristina",,0,11/25/2015
14643,9780812996494,Books,Hardcover fict,A Hero of France,"Furst, Alan",,8,6/29/2016
21070,9781250192455,Books,Non-fiction,A Higher Loyalty,"Comey, James",,1,8/20/2015
20919,9780521316477,Books,Non-fiction,A History Of Chinese Civilization,"Gernet, Jacques",,0,7/3/2018
7492,9780140124897,Books,Non-fiction,A History of Civilizations,"Braudel, Fernand",,2,11/11/2015
19898,1857285956,Books,Non-fiction,"A History Of Fascism, 1914-1945","Payne, Stanley G.",,2,3/28/2018
1221,,Books,Judd Dolle,A History of Latin America,,,0,2/13/2021
932,9780395084106,Books,Judd Dolle,A History Of Mexico,"Parkes, Henry",,6,9/14/2015
924,,Books,Judd Dolle,A History of the Aztecs and the Mayas and their Conquest,"Sundel, Alfred",,2,9/15/2015
18335,9780141985503,Books,Non-fiction,A history of the Crusades,"Runciman, Steven",,1,8/2/2017
7502,9780060875992,Books,Non-fiction,A History of the English-Speaking Peoples Since 1900,"Roberts, Andrew",,2,11/11/2015
7522,9780380713943,Books,Non-fiction,A History of the Twentieth Century,"Gilbert, Martin",,3,11/11/2015
17964,9780312202316,Books,Fiction,A Home at the End of the World,"Cunningham, Michael",,1,6/12/2017
16688,0394720504,Books,Fiction,A House For Mr. Biswas,"Naipaul, V.S.",,2,1/18/2017
19690,9789625936291,Books,Fiction,A House In Bali,"McPhee, Colin",,1,3/14/2018
4420,059075811x,Books,pic. books hard,A House Is A House For Me,"Hoberman, Mary Ann",,2,10/21/2015
18697,978-0-425-27003-5,Books,Fiction,A Hundred Summers,"Williams, Beatriz",,3,9/20/2017
9293,9780553279917,Books,Fiction,A Is for Alibi,"Grafton, Sue",,2,11/27/2015
7026,9784770016614,Books,Judd Dolle,A Japanese Touch for Your Garden,"Seike, Kiyoshi",,2,11/2/2015
19290,0689502109,Books,Young Adult,A Jar Of Dreams,"Uchida, Yoshiko",,2,12/5/2017
300356,0803259492,Books,Fiction,A Journey in Other Worlds,"Astor, John Jacob",,0,4/30/2016
4654,8420510939,Books,Young Adult,A Journey To The Centre Of The Earth,"Verne, Julio",,0,9/29/2015
20209,9780590502146,Books,Young Adult,A Journey To The New World,"Lasky, Kathryn",,0,2/27/2018
7476,9780552141376,Books,Non-fiction,A Kentish Lad,"Muir, Frank",,1,11/11/2015
10999,9780061143472,Books,Fiction,A Killer's Kiss,"Lashner, William",,4,12/2/2015
1426,9781582882246,Books,Hardcover fict,A Killing In The Valley,"Freedman, J. F.",,1,9/21/2015
8355,9780802142962,Books,Fiction,A Killing in This Town,"Vernon, Olympia",,1,12/12/2015
15101,9781934609385,Books,Fiction,A Killing Kindness,"Hill, Reginald",,7,7/9/2016
21297,,Books,child early rea,A Kiss For Little Bear,"Minarik, Else Holmelund",,1,9/17/2018
21939,0739446142,Books,Hardcover fict,A Lady Of His Own,"Laurens, Stephanie",,1,12/16/2018
23168,9780760787045,Books,Non-fiction,A Left-Handed History Of The World,"Wright, Ed",,1,5/6/2019
21414,9781413306293,Books,Non-fiction,A Legal Guide For Lesbian & Gay Couples,"Clifford, Denis",,0,10/20/2018
8497,9780375702709,Books,Fiction,A Lesson Before Dying,"Gaines, Ernest J.",,1,11/25/2015
235296,0553577808,Books,Fiction,A Letter of Mary,"King, Laurie R.",,2,12/2/2015
14817,,Books,child 200,A Life God Rewards,"Wilkinson, Bruce",,0,5/9/2016
9469,9780988528918,Books,Fiction,A Lifetime of Vengeance  (Volume 1),"Grondin, PJ",,0,11/11/2015
19355,1591606497,Books,Fiction,A Light In The Darkness,"Klug, Corban",,0,12/20/2017
12419,9780515137811,Books,Fiction,A Little Fate,"Roberts, Nora",,1,12/9/2015
21237,9781447294825,Books,Fiction,A Little Life,"Yanagihara, Hanya",,0,8/3/2018
2648,9780140366884,Books,Young Adult,A Little Princess,"Burnett, Frances Hodgson",,2,9/23/2015
16873,,DVDs,Children's DVD,A Little Princess and The Secret Garden,,,2,2/3/2017
